Date,Open,High,Low,Close,Volume,AVERAGE_PRICE,ATR,SMA_10,SMA_15,SMA_20,SMA_25,RSI,BB-UPPER,BB-MIDDLE,BB-LOWER,MACD_LINE,MACD_SIGNALLINE,MACD_HISTOGRAM,STOCHASTIC_FASTLINE,STOCHASTIC_SLOWLINE
07/09/1984,2650,2687,2625,2650,2981600,2653,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10/09/1984,2650,2662,2587,2637,2346400,2634,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11/09/1984,2662,2737,2662,2687,5444000,2687,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12/09/1984,2687,2700,2612,2612,4773600,2652.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13/09/1984,2750,2762,2750,2750,7429600,2753,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14/09/1984,2762,2850,2762,2787,8826400,2790.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17/09/1984,2862,2900,2862,2862,6886400,2871.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86.80555556,85.33134669
18/09/1984,2862,2887,2762,2762,3495200,2818.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52.08333333,71.64483876
19/09/1984,2762,2787,2700,2700,3816000,2737.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,46.2962963
20/09/1984,2712,2737,2712,2712,2387200,2718.25,NULL,2715.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,19.36111111
21/09/1984,2712,2787,2650,2687,3591200,2709,101.2,2719.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.8,6.933333333
24/09/1984,2687,2700,2662,2662,2833600,2677.75,94.88,2722.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.063291139,8.621097046
25/09/1984,2650,2650,2612,2612,5977600,2631,90.392,2714.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,6.621097046
26/09/1984,2612,2725,2575,2575,3987200,2621.75,96.3528,2710.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1.687763713
27/09/1984,2575,2587,2575,2575,3796000,2578,87.91752,2693.4,2684.666667,NULL,NULL,44.63519313,NULL,NULL,NULL,NULL,NULL,NULL,0,6.80937E-15
28/09/1984,2575,2575,2462,2512,8344800,2531,90.425768,2665.9,2675.466667,NULL,NULL,40.68612699,NULL,NULL,NULL,NULL,NULL,NULL,19.01140684,6.337135615
01/10/1984,2500,2500,2450,2450,3521600,2475,87.5831912,2624.7,2663,NULL,NULL,37.19814602,NULL,NULL,NULL,NULL,NULL,NULL,0,6.337135615
02/10/1984,2475,2562,2475,2475,4258400,2496.75,90.02487208,2596,2648.866667,NULL,NULL,39.45217405,NULL,NULL,NULL,NULL,NULL,NULL,9.090909091,9.367438645
03/10/1984,2512,2550,2512,2512,4335200,2521.5,88.52238487,2577.2,2642.2,NULL,NULL,42.72839085,NULL,NULL,NULL,NULL,NULL,NULL,45.25547445,18.11546118
04/10/1984,2537,2562,2537,2537,4482400,2543.25,84.67014638,2559.7,2628,2637.8,NULL,44.89791784,2851.47976,2637.8,2424.12024,NULL,NULL,NULL,69.6,41.31546118
05/10/1984,2537,2537,2475,2487,3510400,2509,82.40313175,2539.7,2608,2629.65,NULL,41.51100804,2846.847383,2623.438095,2400.028807,NULL,NULL,NULL,33.03571429,49.29706291
08/10/1984,2487,2500,2487,2487,1721600,2490.25,75.46281857,2522.2,2583,2622.15,NULL,41.51100804,2842.275201,2610.443991,2378.612781,NULL,NULL,NULL,13.79310345,38.80960591
09/10/1984,2487,2500,2462,2462,4515200,2477.75,71.71653671,2507.2,2563,2610.9,NULL,39.77126079,2836.156338,2596.306468,2356.456598,NULL,NULL,NULL,0,15.60960591
10/10/1984,2462,2462,2387,2387,13070400,2424.5,72.04488304,2488.4,2542.133333,2599.65,NULL,35.02831593,2835.308244,2576.372519,2317.436793,NULL,NULL,NULL,0,4.597701149
11/10/1984,2387,2450,2375,2375,6553600,2396.75,72.34039474,2468.4,2519.666667,2580.9,2598.16,34.32302398,2824.053622,2557.194184,2290.334745,NULL,NULL,NULL,0,5.32907E-15
12/10/1984,2375,2387,2250,2275,9522400,2321.75,78.80635526,2444.7,2492.2,2555.3,2583.16,29.0701152,2811.053369,2530.318547,2249.583726,NULL,NULL,NULL,10,3.333333333
15/10/1984,2400,2425,2400,2400,8715200,2406.25,85.92571974,2439.7,2474.733333,2532.2,2573.68,41.18680025,2768.283454,2517.907257,2267.53106,NULL,NULL,NULL,60,23.33333333
16/10/1984,2400,2412,2387,2387,4246400,2396.5,79.83314776,2430.9,2459.733333,2513.45,2561.68,40.41358578,2739.826311,2505.439899,2271.053487,NULL,NULL,NULL,64.62264151,44.87421384
17/10/1984,2487,2500,2487,2487,5636000,2490.25,83.14983299,2428.4,2453.866667,2502.8,2556.68,48.4331993,2722.002384,2503.683718,2285.365052,NULL,NULL,NULL,94.8,73.1408805
18/10/1984,2562,2575,2562,2562,8842400,2565.25,83.63484969,2430.9,2453,2495.3,2549.16,53.48918759,2707.696814,2509.23765,2310.778485,NULL,NULL,NULL,96,85.1408805
19/10/1984,2562,2737,2550,2562,11673600,2602.75,93.97136472,2438.4,2456.333333,2489.05,2540.16,53.48918759,2695.286916,2514.262636,2333.238355,NULL,NULL,NULL,50,80.26666667
22/10/1984,2562,2600,2537,2537,4108800,2559,90.87422825,2443.4,2462.133333,2482.8,2527.16,51.53578014,2681.021659,2516.428099,2351.834539,NULL,NULL,NULL,42.85714286,62.95238095
